,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1,603,217,1560,3.17,£9-12
2,132,351,600,1.45,£5-7
3,40,107,540,1.17,£5-6
4,372,31,1020,2.6,£7-10
5,154,177,660,2.01,£6-8
6,309,229,240,0.3,£5-6
7,782,37,300,0.98,£5-6
8,112,374,900,2.02,£6-9
9,152,594,1020,2.68,£7-10
10,694,684,420,1.24,£5-6
11,246,116,1320,2.21,£7-10
12,553,789,900,2.98,£7-10
13,653,350,900,2.84,£7-10
14,335,14,960,2.38,£7-9
15,469,401,1080,3.56,£8-12
16,67,54,420,1.03,£5-6
17,239,45,720,1.94,£6-8
18,360,100,420,1.3,£5-6
19,506,809,960,2.49,£7-10
20,3,315,1440,3.93,£10-13
21,401,41,420,0.89,£5-6
22,187,665,960,3.0,£11-14
23,702,574,720,1.72,£6-8
24,536,23,1140,2.67,£8-10
25,136,111,1320,3.66,£9-13
26,185,638,900,2.64,£7-10
27,148,756,720,2.37,£6-9
28,695,204,420,1.0,£5-6
29,214,13,480,0.76,£5-6
30,14,174,840,2.11,£6-9
31,737,769,300,0.53,£5-6
32,701,653,240,0.6,£5-6
33,58,569,420,1.02,£5-6
34,457,462,240,0.51,£5-6
35,792,152,600,1.32,£5-7
36,340,411,960,1.77,£6-8
37,350,307,360,1.06,£6-7
38,541,581,720,1.36,£5-7
39,692,202,1500,3.47,£9-13
40,632,325,1440,4.34,£10-14
41,564,199,840,1.6,£6-8
42,353,480,1860,5.59,£15-20
43,5,109,1200,2.45,£7-10
44,405,157,300,0.89,£7-9
45,248,172,660,1.36,£5-7
46,531,1,1380,3.66,£9-13
47,72,699,900,2.54,£7-9
48,42,336,1020,2.91,£9-12
49,432,389,720,2.01,£8-10
50,319,55,420,1.04,£5-6
51,227,372,660,1.33,£5-7
52,75,54,480,0.98,£5-6
53,261,307,240,0.51,£5-6
54,217,54,420,1.07,£5-6
55,689,711,780,2.92,£7-10
56,748,553,420,1.35,£5-6
57,386,340,1020,2.45,£7-10
58,187,660,480,1.43,£7-9
59,213,309,780,2.2,£6-9
60,206,135,900,2.44,£7-9
61,270,579,1140,3.08,£8-11
62,607,709,300,0.5,£5-6
63,46,130,420,0.53,£5-6
64,301,88,600,1.06,£5-6
65,194,803,300,0.29,£5-6
66,393,798,720,1.42,£5-7
67,513,485,600,1.43,£5-7
68,28,14,540,1.16,£5-6
69,620,5,540,1.75,£5-7
70,758,53,1260,3.9,£9-13
71,32,89,960,2.19,£7-9
72,39,489,660,1.31,£5-7
73,694,746,840,2.52,£7-9
74,266,782,600,1.9,£8-11
75,486,30,720,1.4,£5-7
76,66,306,900,1.81,£6-8
77,591,168,720,1.84,£6-8
78,99,233,900,1.95,£6-9
79,197,61,600,1.5,£5-7
80,74,426,300,0.78,£5-6
81,11,84,540,1.52,£5-7
82,703,173,540,1.39,£5-7
83,773,66,360,0.71,£5-6
84,833,334,1320,3.83,£9-13
85,755,187,240,0.62,£7-9
86,80,383,1260,2.14,£7-10
87,522,213,2100,6.73,£14-19
88,354,587,900,1.96,£6-9
89,541,368,360,1.06,£5-6
90,360,268,300,0.69,£5-6
91,244,98,480,0.83,£5-6
92,2,307,480,1.26,£5-6
93,17,792,600,1.27,£5-7
94,524,364,1200,2.47,£8-10
95,564,443,1380,2.92,£8-11
96,626,378,600,1.53,£5-7
