,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1,64,256,540,0.86,£5-6
2,340,195,600,1.21,£5-7
3,359,138,960,2.21,£7-9
4,101,66,540,1.2,£5-6
5,762,646,300,0.47,£5-6
6,568,315,960,2.16,£7-9
7,404,524,480,1.24,£5-6
8,437,305,300,0.47,£5-6
9,300,432,360,0.6,£5-6
10,419,587,2160,4.38,£12-16
11,87,491,840,1.91,£6-8
12,332,378,420,1.02,£5-6
13,489,335,1080,3.17,£8-11
14,218,171,360,1.08,£5-6
15,81,56,600,0.73,£5-6
16,673,218,600,2.12,£6-8
17,128,333,600,1.33,£5-7
18,18,101,1020,2.09,£7-9
19,445,450,660,1.02,£5-7
20,786,785,360,1.2,£5-6
21,140,427,540,0.72,£5-6
22,432,290,960,2.08,£6-9
23,829,126,1860,4.97,£12-16
24,588,54,480,1.08,£5-6
25,338,645,720,1.89,£6-8
26,475,476,360,1.49,£5-6
27,282,702,540,1.0,£5-6
28,755,161,600,1.98,£6-8
29,121,116,780,1.12,£5-7
30,121,381,720,1.21,£5-7
31,732,310,900,2.14,£6-9
32,452,712,780,2.3,£6-9
33,159,199,2340,3.36,£11-15
34,58,444,540,1.34,£5-7
35,508,14,1020,2.9,£8-10
36,71,123,540,1.17,£5-6
37,260,301,660,0.81,£5-6
38,572,581,660,2.05,£6-8
39,521,692,360,0.93,£5-6
40,478,102,840,1.57,£6-8
41,376,57,1200,2.97,£8-11
42,659,245,780,2.67,£7-9
43,28,6,420,0.51,£5-6
44,549,192,1500,2.19,£8-11
45,638,216,840,2.1,£6-9
46,354,252,660,1.38,£5-7
47,811,547,420,1.83,£5-7
48,187,782,540,1.26,£5-7
49,693,724,420,1.7,£5-7
50,701,607,1080,2.89,£8-11
51,107,319,360,0.58,£5-6
52,532,570,300,0.15,£5-6
53,386,797,840,1.61,£6-8
54,424,309,900,2.12,£6-9
55,730,639,660,1.96,£6-8
56,170,314,1320,3.42,£9-12
57,85,275,1080,2.19,£7-10
58,133,2,240,0.37,£5-6
59,302,752,300,1.01,£5-6
60,202,217,420,0.86,£5-6
61,282,790,1320,4.01,£9-13
62,215,546,660,1.39,£5-7
63,609,764,360,0.6,£5-6
64,632,638,360,0.92,£5-6
65,411,321,660,1.53,£5-7
66,524,188,540,0.96,£5-6
67,378,428,240,0.53,£5-6
68,115,383,1440,3.56,£9-13
69,203,206,1080,2.54,£7-10
70,50,466,420,0.91,£5-6
71,524,213,720,1.82,£6-8
72,460,503,420,1.14,£5-6
73,195,508,1440,2.18,£8-11
74,737,101,2580,6.54,£15-20
75,14,279,1320,3.33,£9-12
76,104,252,900,2.28,£7-9
77,810,186,2280,5.17,£13-18
78,101,55,600,1.07,£5-6
79,428,191,360,1.07,£5-6
80,219,568,900,2.41,£7-9
81,15,795,780,1.19,£5-7
82,521,68,1440,3.81,£10-13
83,354,294,840,1.76,£6-8
84,1,630,1920,5.33,£12-17
85,612,251,2340,5.13,£13-18
86,681,219,720,2.41,£6-9
87,381,581,420,0.71,£5-6
88,31,506,660,1.14,£5-7
89,796,67,420,1.2,£5-6
90,258,222,360,1.08,£5-6
91,69,386,1020,1.74,£6-9
92,449,340,720,1.71,£5-8
93,132,491,720,1.96,£6-8
94,292,704,1740,4.57,£11-15
95,591,633,720,2.17,£6-8
96,105,591,780,3.39,£8-10
97,564,485,1620,4.14,£10-14
