,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1,572,12,720,1.81,£6-8
2,132,521,840,2.01,£6-9
3,218,720,720,1.93,£6-8
4,42,126,660,1.25,£6-9
5,605,301,600,1.09,£5-6
6,579,374,840,1.82,£7-10
7,217,564,660,2.02,£6-8
8,73,501,840,2.01,£8-11
9,301,186,720,1.6,£5-7
10,117,270,300,0.82,£5-6
11,758,541,1200,3.53,£9-12
12,55,530,1800,4.14,£13-17
13,785,102,1620,4.17,£10-14
14,432,277,660,1.14,£5-7
15,680,817,660,1.78,£6-8
16,631,680,540,1.55,£5-7
17,31,810,1140,2.52,£10-13
18,51,14,720,1.29,£7-10
19,307,111,720,1.73,£6-8
20,114,797,780,1.55,£6-8
21,480,491,480,1.2,£5-6
22,133,621,1620,4.14,£10-14
23,383,5,1500,2.75,£9-12
24,432,626,900,1.78,£6-8
25,393,297,840,1.67,£6-8
26,2,378,480,1.12,£5-6
27,126,272,720,1.67,£7-9
28,621,688,600,1.33,£5-7
29,345,673,900,2.14,£6-9
30,324,282,1860,4.87,£12-16
31,537,107,720,1.79,£6-8
32,28,107,1320,2.68,£8-11
33,779,298,720,1.47,£5-7
34,88,545,960,1.99,£6-9
35,436,55,780,1.59,£6-8
36,436,249,960,2.36,£7-9
37,236,726,2460,6.39,£15-20
38,195,116,1260,2.53,£8-11
39,378,384,420,1.12,£5-6
40,553,505,1020,2.62,£7-10
41,202,101,720,1.57,£5-7
42,199,48,480,0.76,£5-6
43,133,714,1740,5.17,£12-16
44,138,524,600,1.4,£5-7
45,383,227,1260,2.0,£7-10
46,191,374,1140,2.28,£7-10
47,480,478,420,0.97,£5-6
48,348,318,780,0.77,£5-6
49,769,737,300,0.68,£5-6
50,678,688,180,0.57,£5-6
51,103,303,840,2.41,£7-9
52,722,512,420,0.91,£5-6
53,597,292,1200,2.77,£8-11
54,95,365,480,0.85,£6-7
55,236,492,1440,2.74,£8-11
56,97,626,660,1.66,£5-8
57,492,712,300,0.73,£5-6
58,197,51,1080,2.57,£7-10
59,458,229,1080,3.23,£8-11
60,307,191,720,2.2,£6-8
61,203,190,1440,3.33,£12-16
62,723,701,480,1.34,£5-6
63,469,130,900,3.14,£8-10
64,76,271,300,1.15,£5-6
65,552,779,660,1.43,£5-7
66,251,272,1080,2.18,£7-10
67,218,288,660,1.3,£5-7
68,303,821,960,2.05,£7-9
69,230,197,300,0.4,£5-6
70,294,190,240,0.2,£5-6
71,657,660,600,2.06,£6-8
72,314,217,900,1.36,£6-8
73,393,197,780,1.15,£5-7
74,362,797,420,1.08,£5-6
75,194,193,300,0.37,£5-6
76,596,755,420,1.41,£5-6
77,326,553,840,2.35,£9-12
78,564,130,1800,1.86,£8-11
79,169,404,840,1.99,£6-9
80,308,364,1680,3.07,£9-13
81,323,449,840,2.16,£6-9
82,14,393,660,1.74,£6-8
