,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1,305,411,540,1.24,£5-6
2,621,660,1380,3.59,£16-21
3,541,128,780,2.39,£8-11
4,253,31,240,0.44,£6-8
5,421,95,900,1.62,£7-10
6,129,177,1080,1.71,£6-9
7,298,102,660,1.05,£7-9
8,217,773,780,1.52,£7-9
9,131,226,1380,2.28,£8-11
10,688,607,480,1.07,£8-9
11,194,101,600,0.83,£7-9
12,113,395,660,1.5,£5-7
13,251,553,780,1.92,£7-10
14,178,395,420,1.03,£5-6
15,125,156,300,0.56,£7-9
16,154,809,840,1.51,£6-8
17,154,41,1980,2.92,£10-13
18,12,77,420,0.6,£5-6
19,654,74,360,0.71,£5-6
20,677,320,960,2.69,£7-10
21,62,411,360,0.37,£5-6
22,51,436,540,1.08,£7-8
23,613,687,240,0.57,£5-6
24,99,589,1440,3.19,£9-12
25,350,244,1620,3.13,£9-13
26,287,189,660,1.27,£5-7
27,798,227,420,0.54,£5-6
28,110,436,1500,4.42,£10-14
29,334,374,360,0.85,£5-6
30,89,703,600,1.34,£5-7
31,255,56,660,1.72,£5-7
32,397,541,960,2.37,£7-9
33,584,29,300,0.2,£5-6
34,807,110,840,2.12,£6-9
35,39,234,840,1.89,£7-10
36,290,781,960,2.3,£7-9
37,166,356,480,1.0,£5-6
38,695,465,540,1.56,£5-7
39,67,574,900,1.71,£7-10
40,62,104,1680,2.26,£8-11
41,44,12,960,1.51,£6-8
42,796,410,1320,2.32,£8-10
43,341,104,1560,2.53,£8-11
44,583,353,300,0.67,£6-8
45,581,239,660,0.87,£5-6
46,97,2,720,1.32,£5-7
47,74,614,480,1.51,£5-7
48,17,39,900,1.91,£8-11
49,697,28,900,2.04,£6-9
50,46,717,1260,2.62,£8-11
51,199,583,1260,2.76,£11-15
52,16,64,1200,2.23,£7-10
53,620,378,660,1.89,£6-8
54,306,260,360,0.66,£5-6
55,470,763,480,1.25,£5-6
56,638,780,720,2.12,£8-11
57,653,181,960,2.98,£9-12
58,631,658,480,1.21,£5-6
59,755,292,540,1.24,£6-8
60,593,339,240,0.49,£5-6
61,711,649,600,1.9,£8-11
62,356,584,900,1.93,£9-12
63,755,405,360,0.79,£6-7
64,479,486,360,0.51,£5-6
65,481,473,540,1.99,£6-8
66,596,770,900,1.6,£8-11
67,446,513,540,1.07,£5-6
68,692,77,1980,5.25,£12-17
69,212,159,1680,3.5,£10-13
70,500,565,420,0.62,£5-6
71,766,813,1800,4.22,£18-23
72,458,130,480,1.17,£5-6
73,83,160,240,0.28,£5-6
74,616,428,1140,2.85,£9-13
75,449,202,480,0.95,£5-6
76,115,272,1140,2.56,£7-10
77,3,32,420,0.7,£6-8
78,72,154,1020,2.07,£8-11
79,190,604,2280,4.11,£12-16
80,49,111,360,0.7,£6-8
81,761,634,660,1.14,£7-9
82,552,579,1200,2.14,£7-10
83,452,200,540,1.11,£5-6
84,213,64,840,1.37,£5-7
85,111,191,300,0.77,£5-6
86,293,350,600,1.49,£5-7
87,128,673,1080,2.72,£10-13
88,320,409,1200,2.59,£8-10
89,212,596,1500,3.34,£9-12
90,488,399,780,1.57,£6-8
91,739,167,720,2.17,£7-10
92,486,444,420,0.74,£5-6
93,573,701,540,1.34,£6-8
94,188,312,600,1.29,£5-7
95,645,308,360,0.77,£5-6
96,117,272,360,0.75,£5-6
97,446,512,240,0.46,£5-6
98,733,382,240,0.5,£5-6
99,16,88,720,1.54,£5-8
